Tipologia edilizia,TIME,Case_Nuove
fabbricati residenziali nuovi,2000-06-01,47040
fabbricati residenziali nuovi,2000-03-01,44732
fabbricati residenziali nuovi,2000-12-01,48231
fabbricati residenziali nuovi,2000-09-01,44421
fabbricati residenziali nuovi,2001-03-01,44842
fabbricati residenziali nuovi,2001-06-01,52839
fabbricati residenziali nuovi,2001-12-01,47404
fabbricati residenziali nuovi,2001-09-01,43940
fabbricati residenziali nuovi,2002-06-01,55005
fabbricati residenziali nuovi,2002-03-01,49156
fabbricati residenziali nuovi,2002-12-01,55246
fabbricati residenziali nuovi,2002-09-01,49821
fabbricati residenziali nuovi,2003-03-01,55375
fabbricati residenziali nuovi,2003-06-01,59494
fabbricati residenziali nuovi,2003-12-01,60591
fabbricati residenziali nuovi,2003-09-01,54066
fabbricati residenziali nuovi,2004-06-01,72800
fabbricati residenziali nuovi,2004-03-01,61241
fabbricati residenziali nuovi,2004-12-01,71664
fabbricati residenziali nuovi,2004-09-01,62680
fabbricati residenziali nuovi,2005-03-01,64633
fabbricati residenziali nuovi,2005-06-01,78052
fabbricati residenziali nuovi,2005-12-01,68667
fabbricati residenziali nuovi,2005-09-01,67250
fabbricati residenziali nuovi,2006-06-01,71359
fabbricati residenziali nuovi,2006-03-01,62918
fabbricati residenziali nuovi,2006-12-01,65792
fabbricati residenziali nuovi,2006-09-01,61386
fabbricati residenziali nuovi,2007-03-01,61301
fabbricati residenziali nuovi,2007-06-01,66335
fabbricati residenziali nuovi,2007-12-01,63773
fabbricati residenziali nuovi,2007-09-01,58862
fabbricati residenziali nuovi,2008-06-01,49640
fabbricati residenziali nuovi,2008-03-01,50780
fabbricati residenziali nuovi,2008-12-01,46611
fabbricati residenziali nuovi,2008-09-01,44752
fabbricati residenziali nuovi,2009-03-01,36314
fabbricati residenziali nuovi,2009-06-01,42397
fabbricati residenziali nuovi,2009-12-01,32326
fabbricati residenziali nuovi,2009-09-01,30550
fabbricati residenziali nuovi,2010-06-01,29942
fabbricati residenziali nuovi,2010-03-01,26363
fabbricati residenziali nuovi,2010-12-01,27530
fabbricati residenziali nuovi,2010-09-01,26551
fabbricati residenziali nuovi,2011-03-01,25900
fabbricati residenziali nuovi,2011-06-01,28146
fabbricati residenziali nuovi,2011-12-01,26419
fabbricati residenziali nuovi,2011-09-01,23760
fabbricati residenziali nuovi,2012-06-01,20886
fabbricati residenziali nuovi,2012-03-01,20645
fabbricati residenziali nuovi,2012-12-01,18926
fabbricati residenziali nuovi,2012-09-01,16880
fabbricati residenziali nuovi,2013-03-01,12655
fabbricati residenziali nuovi,2013-06-01,14177
fabbricati residenziali nuovi,2013-12-01,12364
fabbricati residenziali nuovi,2013-09-01,12581
fabbricati residenziali nuovi,2014-06-01,12976
fabbricati residenziali nuovi,2014-03-01,10280
fabbricati residenziali nuovi,2014-12-01,11622
fabbricati residenziali nuovi,2014-09-01,10093
fabbricati residenziali nuovi,2015-03-01,11069
fabbricati residenziali nuovi,2015-06-01,11668
fabbricati residenziali nuovi,2015-12-01,10018
fabbricati residenziali nuovi,2015-09-01,10124
fabbricati residenziali nuovi,2016-06-01,11565
fabbricati residenziali nuovi,2016-03-01,10445
fabbricati residenziali nuovi,2016-12-01,11939
fabbricati residenziali nuovi,2016-09-01,10282
fabbricati residenziali nuovi,2017-03-01,12163
fabbricati residenziali nuovi,2017-06-01,14426
fabbricati residenziali nuovi,2017-12-01,13144
fabbricati residenziali nuovi,2017-09-01,12294
fabbricati residenziali nuovi,2018-06-01,14229
fabbricati residenziali nuovi,2018-03-01,13203
fabbricati residenziali nuovi,2018-12-01,14343
fabbricati residenziali nuovi,2018-09-01,13821
fabbricati residenziali nuovi,2019-03-01,13336
fabbricati residenziali nuovi,2019-06-01,14045
fabbricati residenziali nuovi,2019-12-01,14469
fabbricati residenziali nuovi,2019-09-01,13412
fabbricati residenziali nuovi,2020-06-01,10462
fabbricati residenziali nuovi,2020-03-01,11954
fabbricati residenziali nuovi,2020-09-01,12509
fabbricati residenziali nuovi,2020-12-01,14175
fabbricati residenziali nuovi,2021-03-01,14241
fabbricati residenziali nuovi,2021-06-01,15311
fabbricati residenziali nuovi,2021-09-01,14497
fabbricati residenziali nuovi,2021-12-01,15790
fabbricati residenziali nuovi,2022-03-01,15936
fabbricati residenziali nuovi,2022-06-01,17551
fabbricati residenziali nuovi,2022-09-01,12800
fabbricati residenziali nuovi,2022-12-01,14094
