TIME,Turisti
1990-03-01,17536426
1990-06-01,27687738
1990-09-01,63240862
1990-12-01,21174413
1991-03-01,17633651
1991-06-01,26894208
1991-09-01,66815285
1991-12-01,21038884
1992-03-01,19304337
1992-06-01,28268801
1992-09-01,64223294
1992-12-01,18936457
1993-03-01,18804317
1993-06-01,26536699
1993-09-01,63613576
1993-12-01,18906733
1994-03-01,19591238
1994-06-01,29000466
1994-09-01,68049493
1994-12-01,20559339
1995-03-01,20078605
1995-06-01,30451306
1995-09-01,69107406
1995-12-01,21824993
1996-03-01,21356000
1996-06-01,31660100
1996-09-01,68245728
1996-12-01,22174397
1997-03-01,20761744
1997-06-01,30669282
1997-09-01,67270224
1997-12-01,21546691
1998-03-01,21339882
1998-06-01,32057660
1998-09-01,69294200
1998-12-01,22400556
1999-03-01,22088434
1999-06-01,33311478
1999-09-01,70177987
1999-12-01,23062574
2000-03-01,23347219
2000-06-01,34612332
2000-09-01,72850384
2000-12-01,25390345
2001-03-01,24704999
2001-06-01,36087014
2001-09-01,74857169
2001-12-01,25124489
2002-03-01,22502632
2002-06-01,34729417
2002-09-01,72762427
2002-12-01,25211491
2003-03-01,22946242
2003-06-01,34700346
2003-09-01,71832049
2003-12-01,24423472
2004-03-01,24729600
2004-06-01,36026826
2004-09-01,72346979
2004-12-01,25482113
2005-03-01,24866251
2005-06-01,34898124
2005-09-01,74485786
2005-12-01,26430662
2006-03-01,25945210
2006-06-01,37235916
2006-09-01,76704365
2006-12-01,26682709
2007-03-01,25129004
2007-06-01,37926953
2007-09-01,79978187
2007-12-01,27780688
2008-03-01,26634832
2008-06-01,37103329
2008-09-01,79597121
2008-12-01,26195880
2009-03-01,25360062
2009-06-01,36410188
2009-09-01,80368980
2009-12-01,25738155
2010-03-01,25352243
2010-06-01,36450172
2010-09-01,82437281
2010-12-01,26872181
2011-03-01,25604683
2011-06-01,37093837
2011-09-01,85261255
2011-12-01,27618185
2012-03-01,25619738
2012-06-01,37152071
2012-09-01,83684677
2012-12-01,26962950
2013-03-01,24576212
2013-06-01,35830270
2013-09-01,84555340
2013-12-01,26999230
2014-03-01,24505222
2014-06-01,37630061
2014-09-01,83422318
2014-12-01,26764439
2015-03-01,25108677
2015-06-01,38718482
2015-09-01,87201129
2015-12-01,28056193
2016-03-01,26194391
2016-06-01,36997728
2016-09-01,88701822
2016-12-01,28595220
2017-03-01,26427978
2017-06-01,39936138
2017-09-01,89434603
2017-12-01,29503191
2018-03-01,27740758
2018-06-01,40988762
2018-09-01,89160790
2018-12-01,29865211
2019-03-01,27395772
2019-06-01,40727562
2019-09-01,89114861
2019-12-01,30970307
2020-03-01,27385889
2020-06-01,1790759
2020-09-01,55768694
2020-12-01,9930401
2021-03-01,5267746
2021-06-01,9242817
2021-09-01,76501749
2021-12-01,23782941
2022-03-01,18610644
2022-06-01,33265372
2022-09-01,82175995
2022-12-01,28179270
